	Unnamed: 0	author	poem
28	28	Computer	"Знаешь и поверь меня на встречу
Нет ты лучше знаешь кто угодно
Да я чувствую то что сегодня
Уже не ночи а днями встречи
Как то все иль что отцы дождутся
Как ну а я ухожу вернутся"
29	29	Computer	"Каждое признанье
Пусть враги такие
Почему не надо
Над ковром сухие"
30	30	Computer	"Кто будет счастлив вчера и вновь навсегда
Мужчина ждет смысл и я помню как тогда
Искал он ну и что беда во снах зашли
И помни весь ад мы решим хотя прошли"
31	31	Computer	"Лишь забуду снова
Вот все это слово
Я любил но долго
Так любил мой долгий
План ну я любила
Всё вот наступила"
32	32	Computer	"Войны и не стоит больше страсти
Солнца нет на этом нашей власти
Да и пусть тот час пора не льются
Имя россии все остаются"
33	33	Computer	"И нами хоть до тех каких
Пор и я тону на твоих
Стенах гор и лик и медведь
Рукою тихо по воде"
34	34	Computer	"А впрочем на вопрос ну а что средь людей
Ты ищешь этот путь где люди мы умрем
А ты зайди из дома время красное
Ждет и я знаю что боюсь что при твоей
Душе ночи дни а меж нами дрожь кроме
Бед и тот тот день тот бред пусть прекрасные"
35	35	Computer	"Боль и кто то ждёт меня ты знаешь
Вновь ты помнишь обо мне я знаю
Новый мир рукой увидев сколько
Средь лет за годами всё так значит
Вдруг что на мгновенье и ты знаешь
Я люблю лишь жизнь что я исполню"
36	36	Computer	"Что я но вы дружны
Про ее и гордо
Дай бог мне тот город
Проклят ты чем нужны
Мне на вкус людские
Все мечты жаркие"
37	37	Computer	"Все что ты проснулся
Там я вижу пламя
Море и я знаю
Петь и ждать и слушать
Вновь случайно память
Неба исчезает"
38	38	Computer	"Сказал как синева листва
Посмотрит на великие
Лица и адам и сестра
Ошиблись скоро дикие"
39	39	Computer	"Час и нас бросают
Я пишу пустые
Когда здесь бывают
Лишь весной родные"
40	40	Computer	"Город яркий свет вокруг от страха
Но ну а любовь моя осталась
Лишь тьма не второй и не холодный
О твоей москве дождь и голодный
Ветер плачет и меж нами столько
И от боли исчезают словно"
41	41	Computer	"И день за годом год подряд
Там что во снах любовь несут
Твой осень ну и пусть пройдя
По той весне у вас идут"
42	42	Computer	"И кажется что жизнь идёт
И все что ты на чёрное
И плен пробил ну а живёт
На той траве все чёрные"
43	43	Computer	"Мой мир а может за окном
Хмур но день когда мы пошли
Даешь душа российская
Я что я богу об одном
Одном лесу мы перешли
Все деды от бессилия"
44	44	Computer	"Так и знай все то где жизнь прекрасна
А как улыбнись ну а готовься
На щит ну а теперь я напрасно
Ни на чём но на век жить готовишь"
45	45	Computer	"Тобой есть войны и костры
Корона а быт на мешке
И чье то сердце а ветры
Ложь и дождь на какой башке"
46	46	Computer	"И смотреть вперёд и зачем встречи
Ну а я не знал но нет и толка
Ангелы ныряют по небу пока
Был так день за днём и это время
А снег а не кровь и о блаженство
Пусть свет со мной называют тенью"
47	47	Computer	"Зеркало послушай
Пусть я сто раз понят
Знаешь ты родная
Пью ну ой не слушай
А ведь я не понял
О чём умирая"
48	48	Computer	"И тот кого люблю людей
Я одиноко и завыв
Её нет ближе и сильней
Пять дней но только головы"
49	49	Computer	"И запах уст и словно у меня аккорд
Читаю о далеком и самой самих
Бог кому то сон это ты один никто
И все страдают сами из ума чужих"
50	50	Computer	"О господи прости за то что он готов
Прости меня ну и пусть есть спасение
Ты и любовь и боль и радость и любовь
А ты такой же как и все осенние"
51	51	Computer	"Ну а я как и ты навек
Сегодня я не человек
И ну а эти линии
Твои губы как синие"
52	52	Computer	"Я люблю тебя и ты запомни
Ну а ты прости ну а ты спешишь
Как и я люблю тебя и помню
Как жаль что не сбудутся все души"
53	53	Computer	"Как и тогда когда мы воскресли
И я понимаю ну а если
Нет не подхожу я ко поэту
Ну а я и ты прости за эту
Боль и за то что мы не любили
Ведь мы лишь я и ты и я или"
54	54	Computer	Обещанная статья :)
55	55	Computer	"А я ну а ты говоришь
А я жду ну а ты молчишь
И я жду когда ты придешь
Я знаю что ты не зайдешь"
56	56	Computer	"Горячий кофе и виски
Пахнет теплом и скрипкою
От холода и от тоски
Холодного и липкого"
57	57	Computer	"Снова ночь настала
Снова ночь и жгучий
Снег и небо стало
Горьким и могучим"
58	58	Computer	"Если вдруг кто-то захочет использовать генератор, я постарался сделать это как можно более простой задачей.
Напомню, репозиторий: https://github.com/IlyaGusev/rupo
Я собрал PyPi пакет rupo, он весит порядка 60 Мб (так много из-за включённых словарей и моделей ударений): https://pypi.python.org/pypi/rupo
Соответственно, его можно ставить через pip.
Документацию пока не успел обновить, но в части генератора всё очень просто, в README есть инструкция, там буквально 4 строчки. generate_poem в качестве аргументов принимает модель и 3 словаря, их все можно найти в архиве https://www.dropbox.com/s/fppl6j5y6pyjyui/model.zip (~300 Мб)
Протестировал на чистой машине, вроде всё хорошо работает (хотя оперативки требуется немало).
В целом, всё сказанное в первом посте в силе, но пока времени не очень много.
Если кто-то вдруг захочет поэкспериментировать и возникнут вопросы или проблемы, пишите."
59	59	Computer	"Что мы есть только я и ты и я счастлив
Тебя люблю и ну и пусть она зовёт
Тебя но ты прости меня но ты прости
Я знаю что тебя никто не разберёт"
60	60	Computer	"Ты позови и я приду и ты придёшь
И я уйду и ты уйдешь и ты уйдёшь
И вот так и забыв про все и всё разбив
И о любви и о любви и о любви
Любви и о любви и о обители
У нас и у детей и у родителей"
61	61	Computer	"Ночь за стеклом
И все быстрей
Ночь за окном
Все холодней"
62	62	Computer	"Ну а это значит
Ничего не знаю
Я но ты же знаешь
Ты меня ласкаешь"
63	63	Computer	"Ну а ты прости мне очень горько
О да я люблю тебя но только
Ты прости но это мне известно
А я так хочу чтоб были вместе
Я и ты и я и ты незримый
Ты любовь моя ты мой любимый"
64	64	Computer	"Тогда тебя я полюблю
Всего лишь на мгновение
Прости что я тебя люблю
И я прошу прощения"
65	65	Computer	"И я не забуду
Когда мы расстались
Ну а мы как будто
Даже не попались"
66	66	Computer	"Я люблю тебя я ненавижу
Ну а я люблю твой день рожденья
Я люблю твои глаза я вижу
Каждый день я вижу все стремленья"
67	67	Computer	"Ну а ты подумал
А я улыбалась
Ну а я любила
Ну а ты не думай
Что я не сломалась
И не победила"
68	68	Computer	"Кто прав кто прав кто виноват
Всего одно мгновение
И мне не хочется кричать
И думать о падении"
69	69	Computer	"Каждый шаг и слово
Вновь и вновь и снова
Смотрит на чужого
Город золотого"
70	70	Computer	"Нет я не забуду
Ну и пусть я призрак
Ну а я не буду
Бегать по карнизам"
71	71	Computer	"Я так хочу почувствовать
Твои глаза и наплевав
Мои слова и те слова
Которые я чувствую
И каждое и новое
Читаю я по поводам"
72	72	Computer	"Я жду тебя и я влюблюсь
Ну а я так хочу побыть
Скажи мне до свидания
Прости прости но я люблю
Тебя я не могу забыть
Об этих расставаниях"
73	73	Computer	"Никогда не стану
Я и я забуду
Красоту людскую
Там где мы остались
Здесь и там где будут
Реки и рассудки"
74	74	Computer	"Ой ой ой ой ах как вы кормили
Ой ой ой ой ой ой ой ой или
Ой ой ой ой ой ой ой идите
Ой ой ой ой ой а ну скажите
Ну а ну ну что же вы скажите
Где же ты меня и извините"
75	75	Computer	"И о тебе и о твоих
Любви и о сознании
И о любви и о своих
Мечтах и мирозданиях"
76	76	Computer	"Ты прости за то что ты вернешься
Ты прости за то что ты смеешься
Ну а я пишу на половину
О любви холодной и невинной"
77	77	Computer	"Я стою на страже
И слова поэта
Все стихи и эта
Музыка и даже
Те слова что нынче
Кажутся хмельными"
78	78	Computer	"Ну а я уйду и я забуду
Ты прости за всё что есть на свете
Встань и будь таким каким ты будешь
И я буду ласковым и свежим"
79	79	Computer	"И сон исчезнет навсегда
И вот тогда и и тогда
Тогда она останется
Любить меня до старости"
80	80	Computer	"Ну а я забуду
Ну а мы расстались
Ну а ты исчезни
Ну ну а я буду
Говорить о счастье
Воле и болезни"
81	81	Computer	"Душа моя душа болит
И иногда мне нравится
Я не хочу тебя любить
И думать о красавицах"
82	82	Computer	"Днём и ночью тихой
Падают и тихо
Падают и вторят
Стихи о которых"
83	83	Computer	"Буду наслаждаться
И прошу прощенья
Я но не нуждаюсь
Я во сожаленье"
84	84	Computer	"Всё что есть на свете
Солнце и сомненье
Светит а на небе
Всё горит и светит
Солнце и на крыльях
Дождь стучит по крышам"
85	85	Computer	"Мы встретимся и мы умрем
Улыбками и розами
Там и здесь и там на земле
Где нет места для розовой"
86	86	Computer	"Тебе так много радости
И вот сейчас я радуюсь
И я молюсь своей звезде
Везде и всюду и везде
И здесь и там где есть любовь
У нас нет места для котов"
87	87	Computer	"И душа живая
И душа сгорая
От любви от страсти
Радости от счастья
Счастья и от страсти
На глазах усталость"
88	88	Computer	"Не хочу признанья
Не хочу но только
Не хочу и больше
Ничего не надо
Каждому по чести
Говорить о грусти"
89	89	Computer	"Идут часы и дни идут
Ну а они ведь не живут
И не живут и не хотят
Смотреть на нас не постоят"
90	90	Computer	"Хорошо но только
Мне никто не нужен
Как и мне по нраву
И тебе мне больше
Ничего не нужно
Хоть и не по правой"
91	91	Computer	"Любил любил он говорил
Любил любил любил страдал
Любил любил любил любил
Любил меня и проклинал"
92	92	Computer	"Я люблю тебя ведь так напрасно
Я тебя люблю но это сказка
Ты прости меня за то что скажешь
Ты о господи прости за правду
И за то что ты один на свете
Будешь ты один на всей планете"
93	93	Computer	"И тебе возможно
Не нужны вопросы
И никто не может
Дать ответ на просьбы"
94	94	Computer	"Ты прости за то что не напрасно
Я люблю тебя и я забуду
Ты прости спасибо за сомненья
Ты меня прости за то что правды
Так не было и нет и не будет
Славы да и вовсе не по центрам"
95	95	Computer	"Ну ну а ты только
Говори мне больше
Твоего признанья
Ничего не надо
Думать о безумном
Этом мире шумном"
96	96	Computer	"Ну а я как будто
Ухожу но только
Я уйду и больше
Никогда не буду
Я и буду зверем
Я на небе звездном"
97	97	Computer	"Так нежно обнимал
И по заснеженной
И одной любимой
Девушке блаженной"
98	98	Computer	"Ну а за рассветом
Дождь пройдет и ветер
Смоет все сомненья
Боль и сожаленье"
99	99	Computer	"Ничего не скажешь
Ну и пусть и даже
Если вы поймёте
Что ты не замёрзнешь"
100	100	Computer	"И не понимая
Что я не такая
Как и мне не нужно
Думать лишь о нужном"
101	101	Computer	"Ты прости но у меня нет смысла
Уходи прошу не будь со мною
Ты прости прости но я безумен
Как и все мои мечты и мысли
О тебе и о тебе так много
Мыслей о душе и о безумьях"
102	102	Computer	"Буду думать о тебе я больше
Не могу сказать что я влюблённый
Я устал от боли и от боли
Прыгает на сердце удалённом"
103	103	Computer	"Тебе желаю я твоей
Любви прошу действительно
Побудь со мной коснись моей
Улыбки измерительной"
104	104	Computer	"Мне сказала здравствуй
И опять и снова
Кажется прозрачной
И олоферновой"
105	105	Computer	"Больше не забуду
Я теперь я буду
Для тебя другими
Рядом со своими
Стихами и горькой
Нежностью судоржно"
106	106	Computer	"Ты так легка и холодна
Лишь потому что ты одна
И я люблю его насквозь
И чистый утренний хандроз"
107	107	Computer	"Люблю тебя люблю октябрь
Снег кружится и кружится
Я так хочу тебя обнять
И лаская и пружинив"
108	108	Computer	"Солнце светит ярко
Я лежу под ярким
Солнцем и восторгом
Океан зашторен"
109	109	Computer	"Я буду за твоим окном
И думать о тебе одном
Виновных нет и нет причин
И я остался не один"
110	110	Computer	"Смыслом этих чисел
И коснусь до мозга
Дыханьем и чистым
Воздухом громоздким"
111	111	Computer	"Губ тепло твоих горячих страстных
Рук увидеть блеск твоих прекрасных
Глаз увидеть блеск твоих счастливых
Глаз любовь твоя моя поллитра"
112	112	Computer	"Свежий воздух пахнет
Солнечным запахом
Тихим заснеженным
Ветром заглушенным"
113	113	Computer	"Первые мотивы
От весенней струи
Во сне а невесты
Были так красивы
Эти поцелуи
И тяжеловесы"
114	114	Computer	"Голове мелькают
На глазах сверкают
Свет они сверкают
И обуревают"
115	115	Computer	"Пылающие слёзы на твоих глазах
Осенняя снежинка тает на губах
Той нежной нежной нежности минувшего
Манящим поцелуем притонувшему"
116	116	Computer	"Не хочу вернуться
Я хочу проснуться
Утром на рассвете
И смотреть как сердце
Бьется и играет
Страстью умераем"
117	117	Computer	"Люблю тебя люблю тебя я от вождя
Люблю люблю тебя я за погостами
Прости меня день ото дня и шум дождя
Среди тумана и горечь и госпажей"
118	118	Computer	"Много значишь для меня ты только
Знаешь я люблю тебя я больше
Не люблю тебя ты не печалься
Не люблю и ты меня метайся"
119	119	Computer	"Не люблю тебе спасибо парень
За тебя я не прошу прощенья
За меня прости меня за пару
Фраз за лживые и обращенных"
120	120	Computer	"Ничего и ярче
Нет я не волнуюсь
Не люблю роняет
Лучик солнца яркий
Свет меня волнует
И накостыляет"
121	121	Computer	"Я не забуду ты странна
На этом свете нечего
На сердце у меня она
На сердце изувеченном"
122	122	Computer	"Наружу и злая
Нежная ночная
Тишина со всплеском
Огненного слепу"
123	123	Computer	"Тебя мне больше не отнять
Я так хочу тебя обнять
Хочу хочу почувствовать
Твои глаза я чувствую
Тепло твоих рук сильному
Любимому и сольному"
124	124	Computer	"Не могу быть доброй
Но она коварна
И она подобна
Чистому навару"
125	125	Computer	"Забыть тебя никогда я не полюблю
Тебя люблю как сильно я тебя люблю
Я часто думаю о том мне хочется
Забыть о том что наша жизнь закончена"
126	126	Computer	"И твои глаза твоя улыбка
Неужели мне всё это снилось
И забыть никогда не сумели
Только я люблю твою улыбку
Всю улыбку на твоих ресницах
И объятьях тихих и умелых"
127	127	Computer	"Принимая грёзы
От огня он знает
Иногда бывает
Иногда и слёзы
Капают и тают
По щекам стекают"
128	128	Computer	"Умоляю перестань мне сниться
Я люблю тебя моя невеста
Белый иней на твоих ресницах
Поцелуй на теле бессловесном"
129	129	Computer	"Я не могу среди пустот
Я без тебя мне нравится
Смотрела на меня ничто
Меня не позабавило"
130	130	Computer	"Я тебя люблю и на коленях
Я люблю я знаю это значит
Я люблю тебя я точно знаю
Я люблю тебя без сожалений
Мне уже не хочется разбиться
Молоко вино и ваххабиты"
131	131	Computer	"И мне тебя не позабыть
Я не могу тебя забыть
Забыть тебя мне не отнять
Я так хочу тебя обнять
Тебе я больше не стремлюсь
Никого я не заступлюсь"
132	132	Computer	"На меня искала
Блеск твоих прекрасных
Глаз они сверкали
Золотом поквасов"
133	133	Computer	"Хочется напиться
Я оставил лодку
Без ума холодный
Воздух был пропитан
Кровью и ветрами
Призрачным аврамом"
134	134	Computer	"Не люблю я болен
Жалок и ничтожен
Не скажу ни слова
Я тебе я больше
Не желаю чтобы
Он был титулован"
135	135	Computer	"От прикосновений
Только кровь по венам
Наполняет сердце
Негой кавалерской"
136	136	Computer	"Буду думать о тебе и сверху
Думать о тебе и быть поэтом
Этом мире ты одна на этом
Свете ты всего лишь лучик света
Что зовет меня и затерявшись
Наполняя свежестью терявше"
137	137	Computer	"И по венам рвётся
Кровь и воздух свежий
Как вода и льётся
Музыка норвежски"
138	138	Computer	"Это будет только
У меня и больше
Ничего не будет
А пока я буду
Рядом половина
Может быть невинней"
139	139	Computer	"Тебя люблю лишь только сердце не разбив
Тебя любить я буду обязательно
Я буду думать о тебе и о любви
Во взгляде яростном и окончательном"
140	140	Computer	"Извини я только
Не могу подумал
Начинаю думать
О тебе и больше
Я не улыбаюсь
Я в тебя вторгаюсь"
141	141	Computer	"Поцелуев нежности и страсти
И вдыхая аромат усталых
Роз увидеть блеск твоих прекрасных
Глаз и свежим воздухом пасхальным"
142	142	Computer	"Но я тебя не полюблю
Прости меня что я люблю
Люблю тебя влюбленные
За души урожденные"
143	143	Computer	"Ты прости меня ты не забыла
Как мне плохо без тебя мне было
Плохо без тебя ты прошептала
Я тебя люблю ты мне сказала
Ты прости и ничего не стало
Мне и только небо наблюдало"
144	144	Computer	"Тихий дождь растаял
За окном мне стало
Грустно и дождливо
На мои дождища"
145	145	Computer	"Я я не могу поставить точку
Только не могу я быть счастливой
Просто не могу сказать как сильно
Я тебя люблю тебя я точно
Знаю я тебя люблю до смерти
Я ты душу холодом померишь"
146	146	Computer	"Белый белоснежный
Лепесток у птицы
Поцелуя нежной
Нежной роговицы"
147	147	Computer	"Я люблю тебя моя родная
И благослови меня на службу
Чтобы ты была моей подругой
Не жалея ничего не зная
Я шагаю босиком по лужам
Под весенним солнечным кальчугой"
148	148	Computer	"Ничего не будет
Повторять не буду
Я я думал только
О тебе как долго
Я не просыпался
И по зажигалке"
149	149	Computer	"Слышу голос твой ты мой цветочек
Я люблю люблю тебя я точно
Знаю я люблю тебя на диво
Я люблю тебя принарядившись"
150	150	Computer	"Меня по венам стрелами
Стекает кровь он делает
Меня цветными лирами
Мне душу спекулирует"
151	151	Computer	"Но я тебя не полюблю
И все что было сказано
Как я люблю тебя люблю
Люблю тебя измазаться"
152	152	Computer	"Не остановиться
И не будет биться
Душа будет биться
Сердце колотиться"
153	153	Computer	"Затерялся где то на аллее
Где же ты мое воспоминанье
Я люблю тебя мои родные
Сколько лжи предательства и лести
Ничего другого и не надо
За грехи свои голосовые"
154	154	Computer	"Нет не будет больше
Как никогда только
Сердце не узнает
Душу я не знаю
Кто тебя разбудит
По моей приблуде"
155	155	Computer	"Том что я люблю тебя однажды
Только ты дождись меня родная
Сохраню я радость и усталость
Одарю тебя своей натальей"
156	156	Computer	"Я стоял меж нами
Много лет двенадцать
Ты смеялась надо
Мной и со слезами
На глазах блеснули
Алые каснулся"
157	157	Computer	"Хочу тебя любить я не хочу грустить
Люблю люблю тебя я знаю что внутри
Меня я думаю лишь о тебе испуг
Лишь только для тебя вокруг весь мир вокруг
Тебя ты для меня ты безразличная
Моя любовь моя ежегодичная"
158	158	Computer	"Всю твою божественную нежность
Я мне хочется быть очень странной
Самой самой самой самой нежной
Нежной ласковой и многогранной"
159	159	Computer	"Сказать тебе люблю тебя при случае
Люблю люблю люблю тебя я всей душой
Люблю тебя ты можешь быть самим собой
Я буду думать про себя я мучаюсь
День ото дня стою я у разбитого
Тебя твои ладони на развитии"
160	160	Computer	"Солнечного света
А на небе светят
Фонари драконы
Много на иконах"
161	161	Computer	"Мы живём и кровью
Часто существуем
Мы своей любовью
Их проголосуем"
162	162	Computer	"Тебя люблю тебя люблю и я влюблюсь
Люблю тебя как сильно я тебя люблю
Ты знаешь я люблю тебя но ты прощай
Люблю тебя целуй меня и омрачай"
163	163	Computer	"Больше не могу и не признаюсь
Я тебе и мне не быть поэтом
Но тебя я не забуду взглянув
Сильно я тебя люблю я знаю
Любишь ты меня и ты об этом
Вспоминаешь и меня ты втянешь"
164	164	Computer	"Я тебя люблю все больше
Я люблю тебя и только
Тихий голос твой дрожащий
Тихий голос твой шуршащий"
165	165	Computer	"Больше не вернешься
Ты поверь мне нежность
Не вернуть обратно
Ты не прикоснешься
Губами по нежной
Коже безобразной"
166	166	Computer	"Утром на рассвете
Ощущенье власти
Где то там под снежным
Одеялом влажным"
167	167	Computer	"Я глаза закрою
Вижу как порою
Иногда бывает
Тишина пронзает
Тело и блестящим
Лезвием слезящим"
168	168	Computer	"И никто мне не поможет
Я не знаю как быть может
Просто ко мне прикасаться
Целовать и поломаться"
169	169	Computer	"Как многим подписчикам этого паблика известно, собственно стихи - вершина айсберга. В этом посте я кратко расскажу про всё остальное. 
 
Первой частью проекта был сбор поэтического корпуса. Мы планировали собрать довольно большое количество стихов и разметить их. Результаты этой части вы можете увидеть на http://poetry-corpus.ru/ (исходники - https://github.com/IlyaGusev/PoetryCorpus). В стихах автоматически расставлялись ударения на основе словаря с полными акцентуационными парадигмами и автоматического классификатора. После этого на основе ударений определялся стихотворный метр и по нему доставлялись неизвестные ударения. Здесь всё ещё нужны доработки, в частности сейчас там не хватает ссылки на скачивание всего размеченного корпуса и нужно больше ручных разметок для оценки качества акцентуации. 
 
Вторая часть проекта (которая когда-то отделилась от корпуса) - модуль анализа и синтеза - RuPo (https://github.com/IlyaGusev/rupo). Содержит в себе функции для акцентуации, разбиения на слоги, анализа метра стихов и генерации новых. Оформлена как PyPi пакет, но последнюю сборку я делал довольно давно. Сейчас в рамках этой части я занимаюсь улучшением качества автоматической акцентуации и внедрением фонетических разборов в весь процесс. 
 
Третья часть - генерация на основе нейронных сетей. Результат работы по этой части вы можете видеть в этом паблике. Этим занимается в основном Даниил Анастасьев. Для этого он использует свою морфлогию (Part-of-speech Tagging with Rich Language Description, Anastasyev D.G., Andrianov A.I., Indenbom E.M., Диалог-2017), word embeddings и двухуровневый LSTM. Учили сеть на дампе stihi.ru. Проблемы и задачи есть и здесь - как вы могли заметить, сеть переобучена в сторону стихов о любви :) 

Ну и отдельная история - с Анатолием Старостиным, у которого тоже есть система для анализа стихотворений, и ребятами из ВШЭ, которые тоже делают акцентуатор. С ними я регулярно встречаюсь, обсуждаю текущие успехи, перенимаю опыт и получаю советы.
 
В ближайших планах - цикл подробных статей на Хабре про каждую из этих частей. 
 
Спасибо :)"
